partReference,partRefer,rcCode,digitPart,supplierCode,companyName,tgpSuppliersCode,partLabel,moduleQuantity,moduleType,moduleVolume,moduleWeight,partWeight,moduleLength,moduleWidth,moduleHeight,partSpecificPackagingCode
111406RA0AT,111406RA0A,QC,111406RA0AQC,008AG4  ,THE WEST INDIA POWER EQUIPMENTS(P) LTD. ,NIS,GAUGE ASSY-OIL LEVEL,310,I3,0.034,7.885,0.0195,560,380,160,NIS---DC30
111406RC0BT,111406RC0B,TC,111406RC0BTC,008AG4  ,THE WEST INDIA POWER EQUIPMENTS(P) LTD. ,NIS,GAUGE ASSY-OIL LEVEL,310,I3,0.034,7.885,0.0195,560,380,160,NIS---DC30
111407MA0AZ,111407MA0A,ZC,111407MA0AZC,008AG4  ,THE WEST INDIA POWER EQUIPMENTS(P) LTD. ,NIS,GAUGE ASSY-OIL LEVEL,310,H0,0.033,7.52,0.022,550,380,160,NIS----DC3
112103473RE,112103473R,60,112103473R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,DYNAMIC INSUL ASS   ,18,40,0.005,14.572,0.804,300,200,90,CAR-G*40--
112113522RD,112113522R,68,112113522R68,287554,SUJAN CONTI TECH AVS PVT LTD            ,0,DYNAMIC INSUL-FR RH ,1008,WF,1.457,777.8,0.6,1480,1145,860,CKD---HCTX
112211799RD,112211799R,68,112211799R68,287554,SUJAN CONTI TECH AVS PVT LTD            ,0,DYNAMIC INSUL-FR LH ,1008,WF,1.457,777.8,0.6,1480,1145,860,CKD---HCTX
112217518RE,112217518R,60,112217518R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,INSUL ASSY-LH ENG SU,11,40,0.005,0.221,0.011,300,200,90,CAR-G*40--
112217869RE,112217869R,60,112217869R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,INSUL ASSY-LH ENG   ,24,9,0.072,19.568,0.792,600,400,300,CAR-G*09--
112320166RD,112320166R,68,112320166R68,287554,SUJAN CONTI TECH AVS PVT LTD            ,0,BRACKET- ENG MOUNTIN,70,YH,0.017,14.553,0.2,355,270,175,CAR-S-3961
112338423RD,112338423R,68,112338423R68,287554,SUJAN CONTI TECH AVS PVT LTD            ,0,BRKT-ENG MTG LH     ,70,JP,0.042,11.376,0.15,545,355,218,CAR-S-3987
112367958RE,112367958R,66,112367958R66,263565SP,OMAX AUTOS LTD.                         ,SR1,SUPT-ENG.MID        ,52,15,0.012,14.47,0.275,300,200,200,CAR-G*15--
112371HC3AC,112371HC3A,CC,112371HC3ACC,008AE6  ,BRIDGESTONE INDIA AUTOMOTIVE PRODUCTS PV,NIS,"STAY ASSY-ENG MTG,RH",90,I3,0.034,14.98,0.146,560,380,160,NIS---DC30
112371HC3AH,112371HC3A,HC,112371HC3AHC,008AE6  ,BRIDGESTONE INDIA AUTOMOTIVE PRODUCTS PV,NIS,"STAY ASSY-ENG MTG,RH",90,I3,0.034,15.43,0.151,560,380,160,NIS---DC30
112371HS3AC,112371HS3A,CC,112371HS3ACC,008AE6  ,BRIDGESTONE INDIA AUTOMOTIVE PRODUCTS PV,NIS,"STAY ASSY-ENG MTG,RH",675,I7,0.013,14.5,0.02,380,280,120,NIS---DC70
112371HS3AH,112371HS3A,HC,112371HS3AHC,008AE6  ,BRIDGESTONE INDIA AUTOMOTIVE PRODUCTS PV,NIS,"STAY ASSY-ENG MTG,RH",675,I7,0.013,17.2,0.024,380,280,120,NIS---DC70
112373HD3AO,112373HD3A,OC,112373HD3AOC,008AE6  ,BRIDGESTONE INDIA AUTOMOTIVE PRODUCTS PV,NIS,STAY ASSY-ENG MTG   ,675,I3,0.034,103.09,0.15,560,380,160,NIS---DC30
112748760RD,112748760R,60,112748760R60,28464801,MS GLOBAL INDIA AUTOMOTIVE P LTD        ,0,BRKT-GEARBOX SIDE PW,1650,V6,1.184,326.25,0.145,1190,1150,865,CKD---6IND
112748760RD,112748760R,72,112748760R72,436101,SMSA                                    ,0,BRKT-GEARBOX SIDE PW,1650,V6,1.184,326.25,0.145,1190,1150,865,CKD---6IND
112985046RE,112985046R,60,112985046R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,"SCR-MTG, ENG SUSP   ",10,40,0,3.77,0.377,300,200,90,CAR-G*40--
113321HA3BC,113321HA3B,CC,113321HA3BCC,008AE6  ,BRIDGESTONE INDIA AUTOMOTIVE PRODUCTS PV,NIS,BRKT ASSY-TORQUEROD ,864,I0,0.017,9.64,0.01,380,275,160,NIS----DC4
113321HA3BH,113321HA3B,HC,113321HA3BHC,008AE6  ,BRIDGESTONE INDIA AUTOMOTIVE PRODUCTS PV,NIS,"BRKT-ENG MTG,RR     ",864,IO,0.787,74.51,0.01,1180,1140,585,NIS---DZB1
113321HS3B1,113321HS3B,1C,113321HS3B1C,008AE6  ,BRIDGESTONE INDIA AUTOMOTIVE PRODUCTS PV,NIS,"BRKT-ENG MTG,RR     ",12,I7,0.013,12.16,0.93,380,280,120,NIS---DC70
113321HS3BC,113321HS3B,CC,113321HS3BCC,008AE6  ,BRIDGESTONE INDIA AUTOMOTIVE PRODUCTS PV,NIS,"BRKT-ENG MTG,RR     ",576,I0,0.017,6.76,0.01,380,275,160,NIS----DC4
113321HS3BH,113321HS3B,HC,113321HS3BHC,008AE6  ,BRIDGESTONE INDIA AUTOMOTIVE PRODUCTS PV,NIS,"BRKT-ENG MTG,RR     ",576,IO,0.787,647.63,1.01,1180,1140,585,NIS---DZB1
113322809RD,113322809R,60,113322809R60,293940,GRUPO COSMOS INDIA PRIVATE LTD          ,0,BRKT ASSY-TORQUEROD ,120,YG,0.014,14.687,0.118,355,270,150,CAR-S-3960
113602057RE,113602057R,60,113602057R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,ROD-LWR             ,16,40,0.005,0.996,0.056,300,200,90,CAR-G*40--
113605631RE,113605631R,60,113605631R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,BIELLETTE INF       ,100,40,0.005,33.1,0.33,300,200,90,CAR-G*40--
113605631RE,113605631R,66,113605631R66,287554SP,SUJAN COOPER STD                        ,SR1,BIELLETTE INF       ,100,40,0.005,33.1,0.33,300,200,90,CAR-G*40--
113609519RE,113609519R,60,113609519R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,ROD-LWR             ,8,40,0.005,2.716,0.327,300,200,90,CAR-G*40--
113609957RD,113609957R,68,113609957R68,287554,SUJAN CONTI TECH AVS PVT LTD            ,0,ROD-LWR             ,1134,WF,1.457,527.89,0.335,1480,1145,860,CKD---HCTX
115600494RM,115600494R,68,115600494R68,295653,BONTAZ                                  ,0,JET-PISTON COOLER   ,14080,V6,1.184,312.28,0.016,1190,1150,865,CKD---6IND
115607698RE,115607698R,70,115607698R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,"JET-PISTON COOLER, L",62,40,0.005,0.906,0.013,300,200,90,CAR-G*40--
115607MA0AZ,115607MA0A,ZC,115607MA0AZC,0012R6  ,BONTAZ AUTOMOTIVE INDIA PVT LTD         ,NIS,JET-ASSY OIL        ,18432,IV,0.8,339.76,0.015,1180,1140,595,NIS---DZB7
117200221RE,117200221R,70,117200221R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,BELT-ALTNTR         ,6,40,0.005,0.166,0.011,300,200,90,CAR-G*40--
117205590RE,117205590R,70,117205590R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,BELT-ALTNTR         ,22,40,0.005,1.046,0.043,300,200,90,CAR-G*40--
117207MA1BZ,117207MA1B,ZC,117207MA1BZC,0014X9  ,HUTCHISON INDUSTRIAL RUBBER PRODUCTS    ,NIS,BELT ALTNTR         ,5040,IV,0.8,138.88,0.015,1180,1140,595,NIS---DZB7
118267062RD,118267062R,70,118267062R70,271403,JAYASHREE POLYMERS                      ,1," TUBE-OIL VAPOUR, CY",65,F1,0.025,5.787,0.0431,430,300,190,CAR-S-0104
118269617RD,118269617R,63,118269617R63,271403,JAYASHREE POLYMERS                      ,1,TUBE-OIL VAPOUR.CYL ,3000,V6,1.184,285.9,0.0663,1190,1150,865,CKD---6IND
119167509RE,119167509R,60,119167509R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,SCR-COMPR MTG       ,50,40,0.005,1.45,0.027,300,200,90,CAR-G*40--
119209818RE,119209818R,70,119209818R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,BELT-AIR COND COM   ,30,40,0.005,1,0.03,300,200,90,CAR-G*40--
120205174RM,120205174R,68,120205174R68,282486,MAHLE INDIA                             ,0,GUIDEASSY PISTONPART,60,YV,0.034,14.496,0.228,545,355,175,CAR-S-3986
120330967RE,120330967R,60,120330967R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,KIT-RING            ,10,16,0,0.37,0.037,300,200,125,CAR-G*16--
120433939RN,120433939R,NB,120433939RNB,008AH9  ,FEDERAL-MOGUL GOETZE (INDIA) LIMITED    ,NIS,2ND RING            ,360,I9,0.019,3.893,0.0088,380,280,175,NIS---DD90
121003305RM,121003305R,67,121003305R67,264490,BAJAJ MOTORS LIMITED                    ,1,ROD ASSY-CONN       ,2160,V6,1.184,881.2,0.32,1190,1150,865,CKD---6IND
121003305RT,121003305R,67,121003305R67,264490,BAJAJ MOTORS LIMITED                    ,1,ROD ASSY-CONN       ,864,4H,0.737,366.1,0.4,1140,980,660,CAR-S*2990
121004141RK,121004141R,66,121004141R66,264490,BAJAJ MOTORS LIMITED                    ,1,CONNROD ASSY        ,1296,3P,0.961,494.744,0.364,1140,980,860,CAR-S*2991
121004141RM,121004141R,66,121004141R66,264490,BAJAJ MOTORS LIMITED                    ,1,CONROD ASSY         ,2400,V6,1.184,1030.6,0.364,1190,1150,865,CKD---6IND
121007141RE,121007141R,70,121007141R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,RODASSY-CONN        ,75,40,0.005,22.6,0.3,300,200,90,CAR-G*40--
122014071RE,122014071R,70,122014071R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,SPRING-EXHAUST      ,25,40,0.005,200.8,8.028,300,200,90,CAR-G*40--
122018581RM,122018581R,99,122018581R99,283285,KALYANI                                 ,1,CRANKSHAFT          ,84,*L,0.819,757.24,8.485,1150,950,750,CKD---0278
122018581RM,122018581R,99,122018581R99,400127,KALYANI                                 ,0,CRANKSHAFT          ,84,*L,0.819,757.24,8.485,1150,950,750,CKD---0278
122795908RE,122795908R,70,122795908R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,"SEAL-RING, CRANKS   ",451,40,0.005,17.689,0.039,300,200,90,CAR-G*40--
122795908RM,122795908R,60,122795908R60,28817201,HI TECH ARAI                            ,0,"SEAL-RING, CRANKSHAF",221,YO,0.021,3.317,0.0125,396,297,175,CAR-S-3976
122795908RT,122795908R,66,122795908R66,288172,HI TECH ARAI                            ,0,SEALRING-CRANKSHAFT ,1768,CY,0.36,79.178,0.0363,800,600,750,PAL-S-0247
122821817RI,122821817R,70,122821817R70,27543301,SUNDERAM FASTENERS LTD                  ,0,CAP-CRANKSHAFT BRG  ,2184,4C,0.369,451.8,0.2,1140,490,660,CAR-S*3565
122825961RI,122825961R,62,122825961R62,27543301,SUNDERAM FASTENERS LTD                  ,0,CAP-CRANKSHAFT BRG  ,2520,4C,0.369,456,0.175,1140,490,660,CAR-S*3565
122828AA0BE,122828AA0B,ED,122828AA0BED,008BM2  ,SHOWA DENKO MATERIALS INDIA PVT LTD     ,NIS,"CAP-MAIN BRG, FR    ",33,I3,0.034,14.38,0.38,560,380,160,NIS---DC30
122838AA1BE,122838AA1B,ED,122838AA1BED,008BM2  ,SHOWA DENKO MATERIALS INDIA PVT LTD     ,NIS,"CAP-MAIN BRG, CTR   ",33,I3,0.034,15.04,0.4,560,380,160,NIS---DC30
122848AA1BE,122848AA1B,ED,122848AA1BED,008BM2  ,SHOWA DENKO MATERIALS INDIA PVT LTD     ,NIS,"CAP-MAIN BRG, INTER ",33,I3,0.034,14.38,0.38,560,380,160,NIS---DC30
122858AA0BE,122858AA0B,ED,122858AA0BED,008BM2  ,SHOWA DENKO MATERIALS INDIA PVT LTD     ,NIS,"CAP-MAIN BRG, INTER ",33,I3,0.034,14.38,0.38,560,380,160,NIS---DC30
122868AA1BE,122868AA1B,ED,122868AA1BED,008BM2  ,SHOWA DENKO MATERIALS INDIA PVT LTD     ,NIS,"CAP-MAIN BRG, RR    ",33,I3,0.034,14.38,0.38,560,380,160,NIS---DC30
122970030RE,122970030R,70,122970030R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,SUPT-CRANKSHAFT SEAL,53,40,0.005,5.771,0.107,300,200,90,CAR-G*40--
122970030RM,122970030R,68,122970030R68,264040,RICO AUTO INDUSTRIES LTD                ,1,SUPT-CRANKSHAFT SEAL,3696,KD,3.373,711.44,0.14,2270,1170,1270,CKD---1HC5
122970030RT,122970030R,70,122970030R70,26404001,RICO AUTO INDUSTRIES LTD                ,0,SUPT-CRANKSHAFT SEAL,1008,4G,1.091,159.064,0.133,1450,1140,660,CAR-S*3573
122976787RE,122976787R,60,122976787R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,SUPT-CRANKSHAFT S   ,10,40,0.005,1.36,0.126,300,200,90,CAR-G*40--
123106739RM,123106739R,68,123106739R68,27721201,SAKTHI AUTO COMPONENT LTD               ,0,FLY WHEEL           ,144,V6,1.184,1023,6.5,1190,1150,865,CKD---6IND
123110286RE,123110286R,60,123110286R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,FLYWHEEL-ENG        ,1,15,0,5.4,5.4,300,200,200,CAR-G*15--
123114474RE,123114474R,60,123114474R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,FLYWHEEL-ENG..      ,1,40,0.005,0.207,0.107,300,200,90,CAR-G*40--
123118198RE,123118198R,60,123118198R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,FLYWHEEL-ENG        ,70,40,0.005,377.26,5.388,300,200,90,CAR-G*40--
130206VB1AN,130206VB1A,NP,130206VB1ANP,1725,PRECISION CAMSHAFTS LIMITED             ,NIS,CAMSHAFT ASSY-EXH   ,234,J2,0.903,334.06,1.09,1190,1150,660,NIS----R8H
130213230RE,130213230R,62,130213230R62,270697,NISSAN MOTORS INDIA P LTD               ,SR1,BARRE TOIT LJT D    ,1,40,0.005,0.169,0.069,300,200,90,CAR-G*40--
130213807RY,130213807R,67,130213807R67,425010,SAMVARDHANA MOTHERSON INNOVATIVE        ,0,GEAR CRANKSHAFT     ,720,4C,0.369,287.88,0.379,1140,490,660,CAR-S*3565
130214175RE,130214175R,62,130214175R62,270697,NISSAN MOTORS INDIA P LTD               ,SR1,PULLEY-CRANKSHAFT   ,9,14,0,11.862,1.318,400,300,150,CAR-G*14--
130214967RE,130214967R,70,130214967R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,GEAR-CRANKSHAFT     ,495,40,0.005,87.22,0.176,300,200,90,CAR-G*40--
130214967RM,130214967R,67,130214967R67,425010,SAMVARDHANA MOTHERSON INNOVATIVE        ,0,GEAR-CRANKSHAFT     ,77,JN,0.016,12.841,0.158,545,355,85,CAR-S-3981
130214967RT,130214967R,67,130214967R67,425010,SAMVARDHANA MOTHERSON INNOVATIVE        ,0,GEAR-CRANKSHAFT     ,1925,4H,0.737,519.075,0.259,1140,980,660,CAR-S*2990
130218129RE,130218129R,70,130218129R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,PULLEY-CRANKSHAFT   ,8,14,0.018,10.764,1.318,400,300,150,CAR-G*14--
130218357RE,130218357R,66,130218357R66,288951SP,MOTHERSON SINTERMETAL                   ,AS1,PIGNON ARBRE CAME AD,4,15,0.012,0.954,0.196,300,200,200,CAR-G*15--
130218357RE,130218357R,70,130218357R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,PIGNON ARBRE CAME AD,4,15,0.012,0.954,0.196,300,200,200,CAR-G*15--
130218357RM,130218357R,67,130218357R67,425010,SAMVARDHANA MOTHERSON INNOVATIVE        ,0,GEAR-CRANKSHAFT     ,77,JN,0.016,12.841,0.158,545,355,85,CAR-S-3981
130240366RE,130240366R,60,130240366R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,PIGNON ARBRE CAME EC,1,16,0.008,0.326,0.186,300,200,125,CAR-G*16--
130242580RE,130242580R,70,130242580R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,PULLEY-CAMSHAFT     ,239,40,0.005,396.84,1.66,300,200,90,CAR-G*40--
130245371RY,130245371R,64,130245371R64,27543301,SUNDERAM FASTENERS LTD                  ,0,PULLEY-CAMSHAFT     ,576,3P,0.961,504.216,0.766,1140,980,860,CAR-S*2991
130247173RE,130247173R,66,130247173R66,288951SP,MOTHERSON SINTERMETAL                   ,AS1,PIGNON ARBRE CAME AD,45,15,0.012,8.99,0.196,300,200,200,CAR-G*15--
130247173RE,130247173R,70,130247173R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,PIGNON ARBRE CAME AD,45,15,0.012,8.99,0.196,300,200,200,CAR-G*15--
130247173RM,130247173R,67,130247173R67,425010,SAMVARDHANA MOTHERSON INNOVATIVE        ,0,PINION-INLET CAMSHAF,75,YS,0.019,13.445,0.17,545,355,100,CAR-S-3982
130248145RE,130248145R,70,130248145R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,PIGNON ARBRE CAME AD,4,40,0.005,1.58,0.37,300,200,90,CAR-G*40--
130250493RE,130250493R,70,130250493R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,PIGNON ARBRE CAME AD,4,40,0.005,1.58,0.37,300,200,90,CAR-G*40--
130253BM0AN,130253BM0A,NC,130253BM0ANC,008BN6  ,HITACHI AUTOMOTIVE SYSTEMS INDIAPVT LTD ,NIS,PLY ASSY-VALVE CONT ,576,ID,1.473,546.36,0.86,1180,1140,1095,NIS---DZAD
130255RB0AE,130255RB0A,EC,130255RB0AEC,008BN6  ,HITACHI AUTOMOTIVE SYSTEMS INDIAPVT LTD ,NIS,PLY ASSY-VALVE CONT ,12,I3,0.034,12.16,0.86,560,380,160,NIS---DC30
130255RB0AK,130255RB0A,65,130255RB0A65,289106,HITACHI                                 ,0,PULLEY ASSY-VALVE TI,360,3P,0.961,332.6,0.86,1140,980,860,CAR-S*2991
130255RB0AT,130255RB0A,62,130255RB0A62,289106,HITACHI                                 ,0,PULLEY ASSY-VALVE TI,360,3P,0.961,332.6,0.86,1140,980,860,CAR-S*2991
130255RB0AU,130255RB0A,UC,130255RB0AUC,008BN6  ,HITACHI AUTOMOTIVE SYSTEMS INDIAPVT LTD ,NIS,PLY ASSY-VALVE CONT ,576,OT,0.096,498.61,0.86,560,380,450,NIS--15DZB
130256VB0AN,130256VB0A,NC,130256VB0ANC,008BN6  ,HITACHI AUTOMOTIVE SYSTEMS INDIAPVT LTD ,NIS,PLY ASSY-VALVE CONT ,576,ID,1.473,546.36,0.86,1180,1140,1095,NIS---DZAD
130258650RE,130258650R,66,130258650R66,288951SP,MOTHERSON SINTERMETAL                   ,AS1,PIGNON ARBRE CAME EC,45,15,0.012,8.99,0.196,300,200,200,CAR-G*15--
130258650RE,130258650R,70,130258650R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,PIGNON ARBRE CAME EC,45,15,0.012,8.99,0.196,300,200,200,CAR-G*15--
130258650RM,130258650R,67,130258650R67,425010,SAMVARDHANA MOTHERSON INNOVATIVE        ,0,PINION-EXH CAMSHAFT ,75,YS,0.019,13.445,0.17,545,355,100,CAR-S-3982
130410036RE,130410036R,70,130410036R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,COVER-VTC           ,6,40,0,9.96,1.66,300,200,90,CAR-G*40--
13049EC80AN,13049EC80A,NP,13049EC80ANP,002F80  ,ENDURANCE TECHNOLOGIES PVT LTD          ,NIS,INLET-WATER         ,960,IG,1.737,250.16,0.196,1240,1030,1360,NIS---DZAG
130510411RM,130510411R,60,130510411R60,26404001,RICO AUTO INDUSTRIES LTD                ,0,CAP-CAMSHAFT BRG    ,455,YH,0.017,11.928,0.025,355,270,175,CAR-S-3961
130512113RM,130512113R,60,130512113R60,26404001,RICO AUTO INDUSTRIES LTD                ,0,CAP-CAMSHAFT BRG    ,581,YH,0.017,18.564,0.031,355,270,175,CAR-S-3961
